PostCode,Suburb,DistanceFromMelbourne
3000,Melbourne,0
3006,Southbank,1.04
3002,East Melbourne,1.56
3005,World Trade Centre,1.6
3065,Fitzroy,1.71
3121,Richmond South,1.86
3008,Docklands,1.95
3066,Collingwood,1.99
3207,Garden City,2.05
3051,North Melbourne,2.06
3010,University Of Melbourne,2.19
3050,Royal Melbourne Hospital,2.19
3052,Melbourne University,2.19
3205,South Melbourne,2.37
3121,Cremorne,2.44
3121,Richmond,2.58
3004,Melbourne,2.59
3121,Richmond East,2.65
3003,West Melbourne,2.72
3067,Abbotsford,2.88
3141,South Yarra,3.17
3206,Albert Park,3.18
3066,Collingwood North,3.29
3053,Carlton,3.36
3054,Carlton North,3.36
3052,Parkville,3.51
3068,Clifton Hill,3.51
3121,Burnley,3.51
3121,Richmond North,3.59
3122,Hawthorn North,3.62
3143,Armadale North,3.62
3121,Burnley North,3.64
3068,Fitzroy North,3.69
3054,Princes Hill,3.79
3206,Middle Park,3.94
3142,Hawksburn,4.15
3122,Hawthorn West,4.18
3031,Kensington,4.25
3181,Prahran,4.4
3031,Flemington,4.48
3123,Hawthorn East,4.54
3053,Carlton South,4.87
3181,Windsor,5.01
3070,Northcote South,5.09
3182,St Kilda West,5.16
3142,Toorak,5.19
3055,Brunswick South,5.24
3032,Travancore,5.41
3070,Northcote,5.43
3057,Brunswick East,5.58
3055,Brunswick West,5.84
3182,St Kilda,5.94
3078,Fairfield,5.95
3032,Ascot Vale,5.96
3056,Brunswick,6
3056,Brunswick North,6.06
3144,Kooyong,6.16
3055,Moonee Vale,6.22
3056,Brunswick Lower,6.32
3183,St Kilda East,6.34
3011,Footscray,6.42
3183,Balaclava,6.45
3078,Alphington,6.54
3143,Armadale,6.54
3019,Robinson,6.58
3101,Cotham,6.59
3011,Seddon,6.6
3123,Auburn,6.83
3039,Moonee Ponds,7.05
3013,Yarraville,7.07
3071,Thornbury,7.07
3102,Kew East,7.21
3185,Ripponlea,7.27
3144,Malvern,7.3
3122,Auburn South,7.32
3058,Moreland,7.4
3019,Braybrook North,7.48
