Locality,Latitude,Longitude
BENNISON,-39.140761,146.360412
BOOLARONG,-39.140761,146.360412
FOSTER,-39.140761,146.360412
FOSTER NORTH,-39.140761,146.360412
GUNYAH,-39.140761,146.360412
MOUNT BEST,-39.140761,146.360412
RUMBUG,-39.140761,146.360412
SHALLOW INLET,-39.140761,146.360412
TIDAL RIVER,-39.140761,146.360412
TURTONS CREEK,-39.140761,146.360412
WILSONS PROMONTORY,-39.140761,146.360412
WONGA,-39.140761,146.360412
WOORARRA WEST,-39.140761,146.360412
YANAKIE,-39.140761,146.360412
WALKERVILLE NORTH,-38.84261489,145.9993437
GLENAIRE,-38.781787,143.429978
HORDERN VALE,-38.781787,143.429978
JOHANNA,-38.781787,143.429978
LAVERS HILL,-38.781787,143.429978
TARWIN LOWER,-38.77338675,145.9119412
SNAKE ISLAND,-38.74476124,146.5237607
FISH CREEK,-38.734636,146.066529
HODDLE,-38.734636,146.066529
SANDY POINT,-38.734636,146.066529
WARATAH BAY,-38.734636,146.066529
WARATAH NORTH,-38.734636,146.066529
AIRE VALLEY,-38.716838,143.474392
BEECH FOREST,-38.716838,143.474392
FERGUSON,-38.716838,143.474392
GELLIBRAND LOWER,-38.716838,143.474392
WATTLE HILL,-38.716838,143.474392
WEEAPROINAH,-38.716838,143.474392
WYELANGTA,-38.716838,143.474392
YUULONG,-38.716838,143.474392
PORT WELSHPOOL,-38.693437,146.472132
SUGARLOAF,-38.69,143.7961
PORT FRANKLIN,-38.685115,146.278804
GREY RIVER,-38.6805,143.8336
APOLLO BAY,-38.679417,143.671777
CAPE OTWAY,-38.679417,143.671777
MARENGO,-38.679417,143.671777
PETTICOAT CREEK,-38.679417,143.671777
SKENES CREEK,-38.679417,143.671777
SKENES CREEK NORTH,-38.679417,143.671777
GREY RIVER,-38.6791182,143.832394
WONGARRA,-38.6747,143.7986
BUFFALO,-38.673841,145.987059
BUFFALO CREEK,-38.673841,145.987059
MIDDLE TARWIN,-38.66471384,145.927163
PORT CAMPBELL,-38.660637,143.177116
PRINCETOWN,-38.660637,143.177116
WAARRE,-38.660637,143.177116
HEDLEY,-38.647562,146.507929
KENNETT RIVER,-38.642,143.8047
KENNETT RIVER,-38.63847255,143.8049086
ALBERTON,-38.631942,146.815723
ALBERTON WEST,-38.631942,146.815723
BALOOK,-38.631942,146.815723
BAROMI,-38.631942,146.815723
CALROSSIE,-38.631942,146.815723
DEVON NORTH,-38.631942,146.815723
GELLIONDALE,-38.631942,146.815723
HIAWATHA,-38.631942,146.815723
HUNTERSTON,-38.631942,146.815723
JACK RIVER,-38.631942,146.815723
LANGSBOROUGH,-38.631942,146.815723
MACKS CREEK,-38.631942,146.815723
MADALYA,-38.631942,146.815723
MANNS BEACH,-38.631942,146.815723
PORT ALBERT,-38.631942,146.815723
ROBERTSONS BEACH,-38.631942,146.815723
STACEYS BRIDGE,-38.631942,146.815723
TARRA VALLEY,-38.631942,146.815723
TARRAVILLE,-38.631942,146.815723
WON WRON,-38.631942,146.815723
YARRAM,-38.631942,146.815723
BINGINWARRI,-38.630568,146.436583
HAZEL PARK,-38.630568,146.436583
WELSHPOOL,-38.630568,146.436583
WYE RIVER,-38.6303,143.856
INVERLOCH,-38.629561,145.745609
POUND CREEK,-38.629561,145.745609
WYE RIVER,-38.62497369,143.8493949
AGNES,-38.60357,146.359804
CHRISTIES,-38.60357,146.359804
GRAND RIDGE,-38.60357,146.359804
TOORA,-38.60357,146.359804
TOORA NORTH,-38.60357,146.359804
WONYIP,-38.60357,146.359804
WOORARRA,-38.60357,146.359804
WOORARRA EAST,-38.60357,146.359804
PETERBOROUGH,-38.602117,142.870164
SEPARATION CREEK,-38.599,143.8938
DUMBALK,-38.597018,145.955341
DUMBALK NORTH,-38.597018,145.955341
MEENIYAN,-38.597018,145.955341
MIRBOO SOUTH,-38.597018,145.955341
TARWIN,-38.597018,145.955341
VENUS BAY,-38.597018,145.955341
WALKERVILLE,-38.597018,145.955341
WALKERVILLE SOUTH,-38.597018,145.955341
GRASSY SPUR,-38.589302,146.126718
STONY CREEK,-38.589302,146.126718
SEPARATION CREEK,-38.58813123,143.8732037
ANDERSON,-38.578071,145.630713
ARCHIES CREEK,-38.578071,145.630713
CAPE PATERSON,-38.578071,145.630713
HARMERS HAVEN,-38.578071,145.630713
HICKSBOROUGH,-38.578071,145.630713
KILCUNDA,-38.578071,145.630713
LANCE CREEK,-38.578071,145.630713
NORTH WONTHAGGI,-38.578071,145.630713
POWLETT RIVER,-38.578071,145.630713
SOUTH DUDLEY,-38.578071,145.630713
ST CLAIR,-38.578071,145.630713
WATTLE BANK,-38.578071,145.630713
WONTHAGGI,-38.578071,145.630713
WOOLAMAI,-38.578071,145.630713
BLACKWOOD FOREST,-38.569135,145.534315
DALYSTON,-38.569135,145.534315
RYANSTON,-38.569135,145.534315
WEST CREEK,-38.569135,145.534315
CARLISLE RIVER,-38.564014,143.448102
CHAPPLE VALE,-38.564014,143.448102
GELLIBRAND,-38.564014,143.448102
KENNEDYS CREEK,-38.564014,143.448102
KOONWARRA,-38.550379,145.937973
BIG HILL,-38.544977,143.970167
LORNE,-38.544977,143.970167
AYRFORD,-38.535802,142.908911
BRUCKNELL,-38.535802,142.908911
COORIEMUNGLE,-38.535802,142.908911
COWLEYS CREEK,-38.535802,142.908911
CURDIE VALE,-38.535802,142.908911
CURDIES RIVER,-38.535802,142.908911
HEYTESBURY LOWER,-38.535802,142.908911
NEWFIELD,-38.535802,142.908911
NIRRANDA,-38.535802,142.908911
NIRRANDA EAST,-38.535802,142.908911
NIRRANDA SOUTH,-38.535802,142.908911
NULLAWARRE,-38.535802,142.908911
NULLAWARRE EAST,-38.535802,142.908911
PAARATTE,-38.535802,142.908911
THE COVE,-38.535802,142.908911
TIMBOON,-38.535802,142.908911
TIMBOON WEST,-38.535802,142.908911
CAPE WOOLAMAI,-38.528213,145.379683
CHURCHILL ISLAND,-38.528213,145.379683
NEWHAVEN,-38.528213,145.379683
SAN REMO,-38.528213,145.379683
FORREST,-38.521903,143.712384
MOUNT SABINE,-38.521903,143.712384
CURDIEVALE,-38.51854992,142.8644071
CARRAJUNG SOUTH,-38.514438,146.836248
CHERRILONG,-38.514438,146.836248
MCLOUGHLINS BEACH,-38.514438,146.836248
WOODSIDE,-38.514438,146.836248
WOODSIDE BEACH,-38.514438,146.836248
WOODSIDE NORTH,-38.514438,146.836248
BASS,-38.483041,145.466781
COWES,-38.482182,145.231974
SILVERLEAVES,-38.482182,145.231974
SMITHS BEACH,-38.482182,145.231974
SUMMERLANDS,-38.482182,145.231974
SUNDERLAND BAY,-38.482182,145.231974
SUNSET STRIP,-38.482182,145.231974
SURF BEACH,-38.482182,145.231974
VENTNOR,-38.482182,145.231974
