Name,longitude,venue_name
Max Brenner Chocolate Bar,-37.810692,144.965691
Little Rogue Coffee,-37.810911,144.964027
Stalactites,-37.81087,144.967065
Starbucks,-37.811288,144.964576
Emporium Café Court,-37.811925,144.963785
Asian Beer Cafe,-37.809887,144.964013
Chocolateria San Churro,-37.810482,144.964394
Nespresso Boutique,-37.812153,144.96373
Cookie,-37.812078,144.964929
McDonald's,-37.8116,144.964554
Shujinko,-37.811213,144.967384
The Pancake Parlour,-37.810284,144.963128
Starbucks,-37.813392,144.966234
David Jones Food Hall,-37.81384,144.964586
The Dining Hall,-37.810317,144.963056
Galleria,-37.815089,144.963063
Hakata Gensuke,-37.812271,144.967908
Din Tai Fung ???,-37.812414,144.964077
Rustica,-37.811528,144.963492
Starbucks,-37.809834,144.963763
Tim Ho Wan,-37.813025,144.967086
Betty's Burgers,-37.81593,144.963798
Pidapipó Gelateria,-37.817715,144.965997
Dukes Coffee Roasters,-37.816763,144.966064
Calia,-37.812724,144.96393
Dodee Paidang Thai Street Food Bar And Cafe,-37.815654,144.963264
Sensory Lab,-37.814806,144.965098
Koko Black,-37.814485,144.964033
Starbucks,-37.814721,144.963272
Brother Baba Budan,-37.813445,144.962137
Industry Beans,-37.815315,144.963249
Supernormal,-37.816003,144.968388
MoVida,-37.816619,144.969161
Brick Lane,-37.811341,144.959816
Oli & Levi,-37.814498,144.962681
Pellegrini's,-37.811838,144.971253
Captain Melville,-37.807792,144.961638
Hopetoun Tea Rooms,-37.815896,144.964634
Brunetti,-37.81675,144.965858
Melbourne Central Food Court,-37.810319,144.962996
Tulip Coffee,-37.817706,144.965937
Brunetti,-37.813286,144.963748
Lune Croissanterie,-37.815514,144.969415
Schnitz,-37.813613,144.962877
Mamak,-37.812426,144.96159
The Terrace Tea Rooms,-37.829306,144.982692
Entrecôte,-37.833887,144.980552
The Golden Triangle Restaurant,-37.834093,144.982288
domain brasserie,-37.834048,144.982148
Matilda,-37.834154,144.981474
Dish,-37.83508,144.97535
Bacash,-37.834196,144.98197
The Botanical,-37.834042,144.981746
181 Domain Cafe Bar,-37.834059,144.982165
Ichi Ichi Ku Izakaya,-37.834413,144.982481
Belle's Hot Chicken,-37.805995,144.979601
Marion,-37.805573,144.975816
Archie's All Day,-37.806043,144.980926
Trippy Taco,-37.806343,144.982368
Grub Food Van,-37.839393,144.998392
Hotel Jesus,-37.803383,144.983527
McDonald's,-37.808663,144.982753
Neko Neko,-37.806306,144.982769
Major Major,-37.808327,144.982636
N. Lee Bakery,-37.802466,144.983602
Cutler & Co.,-37.805602,144.975972
Shimbashi Soba & Sake Bar,-37.80496,144.98303
Smithward,-37.806941,144.982936
Two Birds Cafe,-37.805198,144.985484
Tamura Sake Bar,-37.805496,144.975651
Newtown Specialty Coffee,-37.80211,144.97803
Papirica,-37.807113,144.982993
Huxtaburger,-37.805283,144.983176
The Napier Hotel,-37.801719,144.980216
South of Johnston,-37.805988,144.984556
Gontran Cherrier,-37.804606,144.983329
Ichi Ni Nana Izakaya,-37.803757,144.977165
Union Club Hotel,-37.803949,144.98235
